TokenStart,TokenEnd,Word,PreConst,AftConst,StdVowel,ORaising,Speaker,PresentVowel,Stressed
0.774903516,1.132808203,Hello,l,j,ou,FALSE,Barbara,ou,TRUE
1.910064223,2.227560317,know,n,j,ou,FALSE,Barbara,ou,TRUE
3.2888241,3.70445535,Open,z,p,ou,FALSE,Barbara,ou,TRUE
9.610715611,10.06675545,show,sh,#,ou,TRUE,Barbara,eu,TRUE
19.50481284,19.6549019,go,g,s,ou,TRUE,Barbara,eu,FALSE
34.58518066,34.93731269,open,z,p,ou,FALSE,Barbara,ou,TRUE
35.03121701,35.81048134,Episode,s,d,ou,FALSE,Barbara,ou,FALSE
48.32754596,48.9313003,episode,s,d,ou,FALSE,Barbara,ou,FALSE
55.58419627,56.11072622,episode,s,d,ou,TRUE,Barbara,eu,FALSE
65.08035395,65.48753711,no,n,#,ou,FALSE,Barbara,ou,TRUE
80.37057167,80.89008122,Jones,dz,n,ou,FALSE,Lindsay,ou,TRUE
142.8276043,143.2488283,close,l,s,ou,FALSE,Lindsay,ou,FALSE
144.1263782,144.6529082,so,s,#,ou,TRUE,Barbara,eu,FALSE
145.7105459,145.9351987,about,b,t,æu,TRUE,Barbara,eu,TRUE
175.2401733,175.5490708,so,s,k,ou,FALSE,Lindsay,ou,TRUE
176.7916815,176.9882527,so,s,k,ou,FALSE,Ashley,ou,TRUE
177.7043334,178.2027818,okay,#,k,ou,FALSE,Barbara,ou,TRUE
178.5748629,178.8275973,so,s,#,ou,FALSE,Barbara,ou,TRUE
182.4055584,182.7284967,don't,d,n,ou,FALSE,Barbara,ou,TRUE
184.4625354,184.7433513,know,n,ð,ou,FALSE,Barbara,ou,TRUE
193.8720057,194.1036789,going,g,#,ou,FALSE,Lindsay,ou,TRUE
205.2963291,205.6262879,so,s,d,ou,FALSE,Ashley,ou,TRUE
205.6964919,206.1598382,don't,d,n,ou,FALSE,Ashley,ou,TRUE
213.697303,213.9289762,don't,d,n,ou,FALSE,Ashley,ou,TRUE
215.6910964,216.1614632,know,n,#,ou,FALSE,Ashley,au,TRUE
229.2050563,229.7245658,window,d,#,ou,FALSE,Lindsay,ou,FALSE
257.0381896,257.361128,don't,d,n,ou,FALSE,Mariel,ou,TRUE
258.751167,258.8985954,don't,d,n,ou,FALSE,Lindsay,ou,FALSE
259.6754172,259.8439068,don't,d,n,ou,FALSE,Barbara,ou,FALSE
267.2690467,267.521781,so,s,#,ou,FALSE,Mariel,ou,FALSE
273.2550047,273.4796575,oh,#,m,ou,FALSE,Barbara,ou,TRUE
275.5155733,275.8736136,so,s,sh,ou,FALSE,Ashley,ou,TRUE
276.2197817,276.4793392,sounds,s,n,æu,FALSE,Ashley,æu,TRUE
290.7691084,291.2449639,follow-up,l,#,ou,FALSE,Mariel,ou,FALSE
295.5276632,295.7007015,so,s,d,ou,FALSE,Mariel,ou,FALSE
295.7007015,295.8845548,don't,d,n,ou,FALSE,Mariel,ou,TRUE
301.9046901,302.5643988,follow-up,l,#,ou,FALSE,Ashley,ou,FALSE
314.0568735,314.3488758,now,n,#,æu,FALSE,Lindsay,ou,TRUE
333.883873,334.1218008,oh,#,j,ou,FALSE,Mariel,ou,TRUE
334.413803,334.6949903,oh,#,j,ou,FALSE,Barbara,ou,TRUE
338.2385141,338.4872568,go,g,g,ou,FALSE,Ashley,ou,TRUE
341.0287576,341.2775002,oh,#,j,ou,FALSE,Mariel,ou,TRUE
349.7850634,350.3532524,although,ð,#,ou,FALSE,Ashley,ou,TRUE
351.1720739,351.3126676,out,t,t,ou,FALSE,Barbara,æ,FALSE
353.4953963,353.8793252,posters,p,s,ou,FALSE,Ashley,ou,TRUE
361.9994325,362.1886932,about,b,t,æu,FALSE,Mariel,æu,TRUE
370.6602777,370.8944514,over,l,v,ou,FALSE,Ashley,ou,TRUE
371.7109761,371.9597188,over,l,v,ou,FALSE,Ashley,ou,TRUE
385.4564735,385.6132895,out,ng,t,ou,TRUE,Lindsay,æu,FALSE
386.0087705,386.2122686,so,s,#,ou,FALSE,Lindsay,ou,TRUE
386.3733712,386.5853484,so,s,#,ou,FALSE,Lindsay,ou,FALSE
408.6612479,408.8342862,okay,s,k,ou,FALSE,Barbara,ou,TRUE
413.8937776,414.1262979,no,n,#,ou,FALSE,Lindsay,ou,TRUE
416.321722,416.4677231,oh,k,h,ou,FALSE,Lindsay,/e,FALSE
416.9922457,417.3112851,okay,#,k,ou,FALSE,Lindsay,ou,FALSE
417.5202951,417.7257782,now,n,w,ou,TRUE,Lindsay,æu,TRUE
418.8775647,419.0289733,go,g,t,ou,FALSE,Ashley,ou,TRUE
424.0127604,424.3534297,ago,g,#,ou,FALSE,Ashley,ou,TRUE
426.4874899,426.633491,over,l,v,ou,FALSE,Ashley,ou,TRUE
427.0877167,427.3364593,ago,g,#,ou,FALSE,Ashley,ou,TRUE
428.0340202,428.7045438,San Francisco,k,#,au,FALSE,Ashley,ou,FALSE
431.0189318,431.2730819,so,s,#,ou,TRUE,Ashley,au,TRUE
438.1475955,438.4395978,only,#,n,ou,FALSE,Barbara,ou,TRUE
443.8397569,444.1546862,DOWNtown,d,n,ou,FALSE,Barbara,ou,TRUE
444.1546862,444.5210955,downTOWN,t,n,ou,TRUE,Barbara,au,TRUE
445.9143367,446.0819676,so,s,#,ou,FALSE,Barbara,ou,TRUE
453.3314757,453.5099215,so,s,#,ou,FALSE,Barbara,ou,TRUE
456.9579932,457.2121433,alone,l,n,ou,TRUE,Mariel,uu,TRUE
457.9475563,458.185484,oh,#,#,ou,TRUE,Mariel,eu,TRUE
462.6880082,462.9529732,home,h,m,ou,FALSE,Mariel,ou,TRUE
471.4389065,471.6065374,how,h,w,ou,TRUE,Lindsay,au,FALSE
475.2168326,475.6440211,ground,r,n,æu,FALSE,Mariel,æu,TRUE
480.4006953,480.6710678,allowed,l,d,au,FALSE,Lindsay,au,TRUE
481.0063296,481.2658871,allowed,l,d,au,FALSE,Mariel,au,TRUE
481.3415914,481.4929999,only,#,n,ou,FALSE,Mariel,ou,TRUE
482.064309,482.1994952,no,n,w,ou,FALSE,Lindsay,ou,TRUE
482.4752751,482.6483135,allowed,z,l,au,FALSE,Lindsay,au,TRUE
484.4057342,484.5409205,no,n,p,ou,FALSE,Mariel,ou,TRUE
493.6487104,493.8866381,okay,#,k,ou,FALSE,Ashley,ou,TRUE
494.5896064,494.946498,hours,n,r,æu,FALSE,Mariel,æu,TRUE
496.2694424,496.420851,oh,#,f,ou,FALSE,Mariel,ou,TRUE
499.8599883,499.9735447,only,#,n,ou,FALSE,Mariel,ou,TRUE
502.7132407,502.9349461,so,s,j,ou,FALSE,Barbara,/e,FALSE
523.19454,523.4599561,no,n,tsh,ou,FALSE,Mariel,ou,TRUE
526.502018,526.5885372,don't,d,n,ou,FALSE,Mariel,ou,FALSE
531.0694316,531.1883955,don't,d,n,ou,FALSE,Barbara,ou,FALSE
533.5441611,533.7820888,Joan,dz,n,ou,FALSE,Lindsay,ou,TRUE
536.4746113,536.7561856,totally,t,t,ou,FALSE,Lindsay,oi,FALSE
537.1760861,537.3607723,HObo,h,b,ou,FALSE,Lindsay,ou,TRUE
537.3607723,537.5816447,hoBO,b,#,ou,FALSE,Lindsay,ou,FALSE
539.1888241,539.3217539,HObo,h,b,ou,TRUE,Lindsay,eu,TRUE
539.3217539,539.4429742,hoBO,b,#,ou,FALSE,Lindsay,ou,FALSE
540.2540915,540.4271298,so,s,#,ou,FALSE,Lindsay,ou,TRUE
550.7389003,550.9065312,now,n,#,æu,FALSE,Lindsay,æu,FALSE
553.2317341,553.399365,allowed,l,d,æu,FALSE,Lindsay,æ,FALSE
553.8265534,554.026629,so,s,#,ou,FALSE,Lindsay,ou,TRUE
564.2591683,564.5998375,noticed,n,t,ou,FALSE,Lindsay,ou,TRUE
564.9169965,565.3712222,noticing,n,t,ou,FALSE,Lindsay,ou,TRUE
567.9667975,568.0641316,out,v,t,ou,FALSE,Lindsay,æu,TRUE
574.538494,574.8791633,below,l,#,ou,FALSE,Lindsay,ou,TRUE
581.063404,581.3337764,know,n,#,ou,FALSE,Lindsay,ou,TRUE
592.3485152,592.8027409,oh,#,j,ou,TRUE,Barbara,eu,TRUE
618.343533,618.5273863,oh,#,m,ou,FALSE,Mariel,/e,FALSE
