TokenStart,TokenEnd,Word,PreConst,AftConst,StdVowel,ORaising,Speaker,PresentVowel,Stressed
5.110036942,5.193275339,don't,d,n,ou,f,Mariel,ou,t
5.193275339,5.337050752,know,n,h,ou,t,Mariel,eu,t
5.337050752,5.427856276,how,h,t,æu,f,Mariel,æu,t
5.965122291,6.101330577,don't,d,n,ou,f,Mariel,ou,t
6.101330577,6.237538863,know,n,h,ou,f,Mariel,/e,f
6.237538863,6.320777259,how,h,t,æu,f,Mariel,æ,f
9.196285512,9.317359544,only,#,n,ou,f,Mariel,ou,t
9.317359544,9.498970592,know,n,h,ou,f,Mariel,ou,f
9.498970592,9.612477496,how,h,t,æu,f,Mariel,æ,f
41.00408814,41.4429815,episode,s,d,ou,f,Barbara,ou,t
42.01051603,42.20726133,open,z,p,ou,f,Barbara,ou,t
42.35103674,42.82019861,episode,s,d,ou,f,Barbara,ou,t
45.01466544,45.39302179,intro,r,#,ou,t,Barbara,eu,t
50.59847097,50.77251489,so,s,#,ou,f,Barbara,ou,t
52.45925199,52.79220557,episode,s,d,ou,f,Barbara,/e,f
92.099033,92.43955372,episode,s,d,ou,f,Barbara,ou,t
93.17356503,93.44598161,intro,r,s,ou,f,Barbara,ou,t
93.76380094,93.91514348,so,s,p,ou,f,Barbara,/e,f
111.3097718,111.6729939,show,sh,#,ou,t,Barbara,eu,t
126.5402017,126.7899169,our,z,r,ou,f,Jessica,æ,t
127.1001691,127.2439445,our,z,r,ou,f,Jessica,æ,t
144.0029341,144.4493946,ground,r,n,æu,f,Jessica,æu,t
192.5855948,193.0698909,found,f,n,æu,f,Mariel,æu,t
214.2851842,214.5878692,no,n,#,ou,f,Mariel,ou,t
227.647264,227.942382,go,g,#,ou,f,Barbara,ou,t
236.7270842,237.0600377,found,f,n,æu,f,Barbara,æu,t
240.956374,241.1001494,no,n,ð,ou,f,Barbara,ou,t
325.9779268,326.3865517,out,s,t,æu,f,Barbara,æu,t
332.2881766,332.4773547,South,s,th,æu,f,Barbara,æu,t
332.5984288,332.7422042,South,s,th,æu,f,Barbara,æu,t
339.3173053,339.657826,bonus,b,n,ou,f,Barbara,ou,t
339.657826,339.952944,episode,s,d,ou,f,Barbara,ou,t
353.102414,353.6321129,scenarios,#,z,ou,f,Barbara,ou,f
364.6937842,364.8905295,no,n,#,ou,f,Barbara,ou,t
369.6956551,369.9756388,down,d,n,æu,f,Barbara,æu,t
370.5500082,371.0872743,snowstorm,n,s,ou,t,Barbara,uu,t
376.4667674,376.8451237,snowstorm,n,s,ou,t,Barbara,uu,t
381.7857254,382.1035447,okay,#,k,ou,f,Barbara,/e,f
397.1303925,397.5238831,over,l,v,ou,f,Gavin,ou,t
414.3963796,414.8882429,mountain,m,n,æu,f,Mariel,æu,t
415.4482103,415.8795365,snow,n,#,ou,f,Mariel,ou,t
416.7043534,416.9843371,no,n,#,ou,f,Mariel,ou,t
419.0115949,419.1856388,most,m,s,ou,t,Mariel,uu,t
422.0384457,422.3941006,Taos,t,s,æu,f,Mariel,æu,t
422.5076075,423.0448736,Taos,t,s,æu,f,Barbara,æu,t
424.7391778,424.9737587,go,g,d,ou,t,Mariel,uu,t
429.0373059,429.3475581,going,g,w,ou,f,Mariel,o,t
435.6880783,436.0437333,so,s,#,ou,f,Mariel,ou,t
436.4674924,436.8155802,snow,n,#,ou,t,Mariel,uu,t
437.2159057,437.5337251,snowing,n,w,ou,t,Mariel,eu,t
437.7380375,438.2677364,so,s,#,ou,f,Mariel,ou,t
441.2567516,441.5972723,snow,n,#,ou,t,Mariel,eu,t
465.7705819,466.1262369,snowstorm,n,s,ou,f,Barbara,ou,t
482.1141117,482.3865283,clothes,l,z,ou,f,Barbara,ou,t
484.0134606,484.5582937,oh,#,#,ou,t,Jessica,uu,t
485.8893739,486.2752974,clothes,l,z,ou,f,Jessica,ou,t
486.5628482,486.7974291,clothes,l,z,ou,f,Barbara,/e,t
505.8416911,506.0460035,clothes,l,z,ou,t,Barbara,eu,t
510.07855,510.4190707,show,sh,#,ou,f,Barbara,ou,t
511.1076793,511.3271259,know,n,#,ou,t,Mariel,eu,t
516.1239503,516.3282627,clothes,l,z,ou,f,Jessica,ou,t
518.4470583,518.6513707,clothes,l,z,ou,t,Jessica,eu,t
536.106532,536.3214637,go,g,#,ou,f,Gavin,ou,t
536.3214637,536.4924555,out,#,t,æu,f,Gavin,æ,f
551.5488396,551.7380178,no,n,#,ou,f,Gavin,ou,t
561.0221504,561.2176974,no,n,n,ou,f,Mariel,/e,t
561.2176974,561.4307752,no,n,#,ou,t,Mariel,eu,t
563.8969264,564.169343,know,n,#,ou,t,Barbara,eu,f
565.6676341,565.8719465,no,n,w,ou,f,Barbara,ou,t
568.2707258,568.4826053,low,l,#,ou,f,Gavin,ou,t
570.2904145,570.4795927,so,s,w,ou,t,Barbara,eu,t
