TokenStart,TokenEnd,Word,PreConst,AftConst,StdVowel,ORaising,Speaker,PresentVowel,Stressed
435.1377589,435.4748083,okay,t,k,ou,t,Barbara,\eu,t
438.0169111,438.6594115,no,n,#,ou,f,Miles,ou,t
446.1308598,446.3415157,over,ng,v,ou,f,Barbara,ou,t
447.2894671,447.5106558,knows,n,z,ou,f,Barbara,ou,t
448.005697,448.3427464,no,n,#,ou,f,Miles,ou,t
449.0905747,449.2380338,oh,#,l,ou,t,Mariel,au,t
449.6593456,449.7857391,oh,#,ð,ou,t,Barbara,\eu,t
457.2361235,457.5626401,wow,w,#,æu,f,Miles,æu,t
458.8197405,459.0619947,no,n,#,ou,f,Miles,ou,t
459.0619947,459.4095769,okay,#,k,ou,t,Miles,\eu,t
460.5471186,460.7051105,about,b,t,ou,t,Miles,\eu,t
463.4541695,463.6437598,open,#,p,ou,f,Miles,ou,t
463.6437598,463.9702764,about,b,t,ou,t,Miles,au,t
478.1548153,478.4181352,don't,d,n,ou,f,Miles,ou,t
507.4191807,507.7878285,shower,sh,w,ou,t,Miles,æu,t
509.076529,509.4241111,go,g,#,ou,t,Miles,æu,t
515.3683062,515.7474867,about,b,t,ou,f,Miles,ou,t
515.8949458,516.3267903,no,n,#,ou,f,Miles,ou,t
519.0863822,519.4655627,no,n,#,ou,f,Miles,ou,t
531.1222313,531.4171495,clothes,l,ð,ou,f,Lindsay,ou,t
541.005691,541.3427404,Jones,dz,n,ou,f,Barbara,ou,t
542.4486837,542.7014707,go,g,#,ou,t,Barbara,\eu,t
544.9381226,545.1803768,go,g,#,ou,f,Barbara,ou,t
545.780746,546.0440658,clone,l,n,ou,f,Barbara,ou,t
547.6871816,548.0768949,no,n,#,ou,f,Lindsay,ou,t
559.4807748,559.7546274,okay,#,k,ou,f,Lindsay,ou,t
564.908863,565.108986,oh,#,p,ou,f,Lindsay,ou,t
566.7626346,567.1734135,goatees,g,t,ou,f,Lindsay,ou,t
577.372857,577.4781849,hope,h,p,ou,t,Lindsay,\eu,t
579.8622959,580.1256157,know,n,s,ou,f,Mariel,ou,t
581.8108626,582.042584,oh,#,w,ou,f,Miles,ou,t
589.42977,589.7141555,about,b,t,æu,f,Lindsay,æu,t
591.1466153,591.3572712,though,ð,#,ou,f,Barbara,ou,t
606.584555,606.890006,now,n,#,æu,f,Lindsay,æu,t
606.890006,607.2059898,now,n,w,æu,f,Lindsay,æu,t
608.4104279,608.6421494,now,n,w,æu,f,Lindsay,æu,t
608.9476004,609.2319858,go,g,#,ou,f,Lindsay,ou,t
609.9271501,610.2220683,though,ð,#,ou,f,Barbara,ou,t
612.1074383,612.3180942,go,g,w,ou,f,Miles,ou,t
624.5119353,624.7541895,no,n,w,ou,f,Lindsay,ou,t
626.1234526,626.5447643,no,n,#,ou,f,Barbara,ou,t
627.1977975,627.4189862,no,n,w,ou,f,Barbara,ou,t
629.1884954,629.4518152,though,ð,#,ou,t,Barbara,\eu,t
