TokenStart,TokenEnd,Word,PreConst,AftConst,StdVowel,ORaising,Speaker,PresentVowel,Stressed
5.591714337,6.055157236,hello,l,#,ou,f,Barbara,ou,t
8.51299774,8.807915949,open,z,p,ou,f,Barbara,ou,t
15.20132139,15.42251005,nope,n,p,ou,f,Mariel,ou,t
17.99621128,18.29112949,okay,#,k,ou,f,Lindsay,\eu,f
22.35678764,22.64117306,show,sh,w,ou,t,Barbara,\uu,t
25.29913663,25.57298926,round,r,n,ou,t,Barbara,æu,f
27.46889202,27.69008068,most,m,s,ou,f,Barbara,ou,f
36.78728057,36.99793643,show,sh,#,ou,f,Barbara,ou,t
40.08404483,40.69819427,so,s,sh,ou,f,Miles,ou,t
42.92789898,43.10695646,so,s,w,ou,t,Barbara,\eu,t
52.39374663,52.70973043,hola,h,l,ou,f,Lindsay,ou,t
55.83796999,56.01503498,COmo,k,m,ou,f,Mariel,ou,t
56.01503498,56.1581565,coMO,m,#,ou,f,Mariel,ou,f
63.45687914,63.79392852,outfit,#,t,æu,f,Mariel,æu,t
64.57335522,64.84720784,show,sh,l,ou,f,Mariel,ou,t
66.86267103,67.17865483,show,sh,l,ou,f,Barbara,ou,t
67.43144186,67.77902404,show,sh,l,ou,f,Barbara,ou,t
68.48472118,68.69537704,show,sh,l,ou,f,Mariel,ou,t
68.92709849,69.16935273,show,sh,#,ou,f,Mariel,ou,t
69.63279563,69.89611546,show,sh,#,ou,f,Mariel,ou,t
71.18111623,71.39177209,don't,d,n,ou,f,Lindsay,ou,t
79.85330469,80.21141966,show,sh,w,ou,f,Miles,ou,t
84.07012165,84.24917914,open,z,p,ou,t,Miles,\eu,t
95.06322431,95.40027369,so,s,#,ou,t,Miles,\eu,t
103.6511504,103.7775439,how's,h,w,æu,f,Miles,\e,t
122.4701184,122.7123726,Homer,h,m,ou,f,Miles,ou,t
138.5437254,138.7754468,round,r,n,ou,t,Lindsay,æu,t
141.1874564,141.4402435,out,#,t,ou,f,Lindsay,ou,t
156.4990026,156.8149864,drowned,r,n,ou,f,Mariel,æ,t
174.6791682,174.942488,videos,#,z,ou,f,Lindsay,ou,t
179.5979826,179.8507696,also,s,dz,ou,t,Barbara,\eu,t
180.1140894,180.2510158,go,g,l,ou,f,Barbara,ou,t
183.7305372,184.2677097,slowly,l,l,ou,f,Miles,ou,t
189.6431339,189.9169865,old,g,l,ou,f,Miles,ou,t
190.0117816,190.3804294,Dumbo,b,#,ou,f,Miles,ou,f
194.1617021,194.5619483,know,n,#,ou,f,Miles,ou,t
196.1982309,196.6932722,earlobes,l,b,ou,f,Lindsay,ou,t
208.2303804,208.5779626,our,#,r,ou,f,Barbara,a,f
215.7123632,216.0198404,show,sh,#,ou,f,Barbara,ou,t
231.8770673,232.1614527,go,g,s,ou,f,Miles,ou,t
243.6917278,244.0077116,open,#,p,ou,f,Lindsay,ou,t
276.7515951,277.162374,know,n,#,ou,f,Miles,ou,t
311.1280631,311.4124485,bro,r,l,ou,f,Miles,ou,t
315.3201148,315.6571642,don't,d,n,ou,f,Miles,ou,t
332.0219914,332.4222375,power,p,w,ou,t,Miles,æu,t
345.3639069,345.9802598,hello,l,#,ou,f,Miles,ou,t
361.9430896,362.280139,going,g,#,ou,t,Barbara,\eu,t
364.0812466,364.3445665,going,g,#,ou,t,Barbara,\eu,f
365.6190344,365.9876822,oh,#,#,ou,f,Miles,ou,t
372.300525,372.5743776,open,s,p,ou,f,Barbara,ou,t
383.4485123,383.7223649,okay,n,k,ou,f,Barbara,ou,t
386.5699187,387.0122961,profile,r,f,ou,f,Lindsay,ou,t
390.3827899,391.0252903,thousands,th,z,ou,t,Barbara,æu,t
392.5420125,392.7947995,know,n,j,ou,f,Barbara,ou,t
397.7699776,398.1386253,round,r,n,ou,t,Barbara,æu,t
399.4905226,399.9118343,okay,#,k,ou,t,Miles,\eu,t
407.1211467,407.3389403,out,d,t,ou,t,Miles,æu,t
430.6823874,430.9667728,go,g,#,ou,t,Barbara,\eu,t
432.6941509,432.9258723,out,ng,t,ou,t,Barbara,æu,t
433.757963,434.2740699,no,n,#,ou,f,Miles,ou,t
